id,userId,organizationId,operatingUnitId,action,entityType,entityId,details,ipAddress,userAgent,createdAt
1,,30001,60005,soft_delete,operating_unit,60005,"{""name"":""Jordan Office"",""type"":""regional""}",,,2026-01-29 20:36:09
2,,,,soft_delete,organization,60005,"{""name"":""Test Organization"",""domain"":null}",,,2026-01-29 20:59:57
3,,,,soft_delete,organization,60005,"{""name"":""Test Organization"",""domain"":null}",,,2026-01-29 21:00:00
4,,,,soft_delete,organization,60005,"{""name"":""Test Organization"",""domain"":null}",,,2026-01-29 21:00:02
5,,,,soft_delete,organization,60004,"{""name"":""Test Organization"",""domain"":null}",,,2026-01-29 21:00:13
6,,,,soft_delete,organization,60003,"{""name"":""Test Organization"",""domain"":null}",,,2026-01-29 21:00:17
7,,,,soft_delete,organization,60002,"{""name"":""Test Organization"",""domain"":null}",,,2026-01-29 21:00:20
8,,,,soft_delete,organization,60001,"{""name"":""Test Organization"",""domain"":null}",,,2026-01-29 21:00:27
9,,30002,90004,soft_delete,operating_unit,90004,"{""name"":""KSA Office"",""type"":""field""}",,,2026-01-30 01:25:22
10,,30002,90005,soft_delete,operating_unit,90005,"{""name"":""Test Office - Auto Access"",""type"":""field""}",,,2026-01-30 01:25:28
11,,30002,,soft_delete,operating_unit,90006,"{""name"":""Lebanon Office - Code Test"",""type"":""field""}",,,2026-01-30 02:02:54
12,,30002,,soft_delete,operating_unit,90006,"{""name"":""Lebanon Office - Code Test"",""type"":""field""}",,,2026-01-30 02:03:08
30001,,,,soft_delete,operating_unit,120003,"{""name"":""Damascus Field Office"",""type"":""field""}",,,2026-01-30 14:27:30
60001,,,,soft_delete,organization,1,"{""name"":""Test Organization"",""domain"":null}",,,2026-01-30 15:50:14
60002,,,,soft_delete,organization,120001,"{""name"":""Test Bulk OU Organization"",""domain"":null}",,,2026-01-30 16:36:54
60003,,,,soft_delete,organization,120003,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-01-30 16:36:57
60004,,,,soft_delete,organization,120006,"{""name"":""Updated Edit Test Organization"",""domain"":null}",,,2026-01-30 16:37:04
60005,,,,soft_delete,organization,120005,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-01-30 16:37:06
60006,,,,soft_delete,organization,90001,"{""name"":""Final Success Org"",""domain"":null}",,,2026-01-30 16:37:11
60007,,,,soft_delete,organization,120004,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-01-30 16:37:16
60008,,,,soft_delete,organization,120002,"{""name"":""Complete Test Org"",""domain"":null}",,,2026-01-30 16:37:20
60010,,30001,30001,Project status changed from Ongoing to Completed,project,1,"{""projectCode"": ""EDU-SUPPORT-003"", ""projectTitle"": ""Education Support Program"", ""oldStatus"": ""Ongoing"", ""newStatus"": ""Completed""}",,,2026-01-30 17:02:01
60011,,30001,30001,project_updated,project,3,Updated project: Education Support Program,,,2026-01-30 17:34:15
60012,242008,30002,30002,project_updated,project,5,Updated project: Livelihood Recovery Program,,,2026-01-30 17:43:51
60013,242008,30002,30002,project_status_changed,project,5,Changed project status from planned to ongoing: Livelihood Recovery Program,,,2026-01-30 17:44:06
90001,,30001,30001,project_updated,project,1,Updated project: Promoting Inclusion and Social Change through Sports,,,2026-01-30 22:13:43
90002,,30001,30001,project_updated,project,1,Updated project: Promoting Inclusion and Social Change through Sports,,,2026-01-30 22:19:21
90003,,30001,30001,project_updated,project,1,Updated project: Promoting Inclusion and Social Change through Sports,,,2026-01-30 22:26:17
90004,,30001,30001,project_updated,project,3,Updated project: Education Support Program,,,2026-01-30 23:04:58
90005,,30001,30001,project_updated,project,3,Updated project: Education Support Program,,,2026-01-30 23:05:23
120001,,30001,,project_created,project,90001,Created project: Indicators Test Project (TEST-INDICATORS-001),,,2026-01-31 15:10:24
150001,,30001,,project_created,project,120005,Created project: Activity Test Project (TEST-ACT-001),,,2026-01-31 16:05:25
180001,,30001,,project_created,project,150001,Created project: Test Project for Tasks and Beneficiaries (TEST-2026-001),,,2026-01-31 18:30:43
180002,,30001,,project_created,project,150026,Created project: Test Case Management Project (TEST-CM-001),,,2026-01-31 22:45:36
210001,,150001,,soft_delete,organization,150001,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-02-01 20:27:03
210002,,150003,,soft_delete,organization,150003,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:27:07
210003,,150003,,soft_delete,organization,150003,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:27:09
210004,,150003,,soft_delete,organization,150003,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:27:12
210005,,150003,,soft_delete,organization,150003,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:27:14
210006,,150003,,soft_delete,organization,150003,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:27:16
210007,,150002,,soft_delete,organization,150002,"{""name"":""Test Organization"",""domain"":null}",,,2026-02-01 20:27:19
210008,,150004,,soft_delete,organization,150004,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:27:21
210009,,150004,,soft_delete,organization,150004,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:27:25
210010,,150003,,soft_delete,organization,150003,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:27:29
210011,,150003,,soft_delete,organization,150003,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:27:29
210012,,150003,,soft_delete,organization,150003,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:27:29
210013,,150003,,soft_delete,organization,150003,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:27:29
210014,,150002,,soft_delete,organization,150002,"{""name"":""Test Organization"",""domain"":null}",,,2026-02-01 20:27:29
210015,,150004,,soft_delete,organization,150004,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:27:29
210016,,150004,,soft_delete,organization,150004,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:27:29
210017,,150003,,soft_delete,organization,150003,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:27:29
210018,,210040,,soft_delete,organization,210040,"{""name"":""Test Organization"",""domain"":null}",,,2026-02-01 20:27:48
210019,,210036,,soft_delete,organization,210036,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-02-01 20:27:50
210020,,210036,,soft_delete,organization,210036,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-02-01 20:27:53
210021,,210037,,soft_delete,organization,210037,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:27:56
210022,,210035,,soft_delete,organization,210035,"{""name"":""Test Organization"",""domain"":null}",,,2026-02-01 20:27:59
210023,,210033,,soft_delete,organization,210033,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:28:02
210024,,210034,,soft_delete,organization,210034,"{""name"":""Updated Edit Test Organization"",""domain"":null}",,,2026-02-01 20:28:04
210025,,210031,,soft_delete,organization,210031,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-02-01 20:28:07
210026,,210032,,soft_delete,organization,210032,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:29:09
210027,,210029,,soft_delete,organization,210029,"{""name"":""Updated Edit Test Organization"",""domain"":null}",,,2026-02-01 20:29:16
210028,,210027,,soft_delete,organization,210027,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:35:20
210029,,210024,,soft_delete,organization,210024,"{""name"":""Updated Edit Test Organization"",""domain"":null}",,,2026-02-01 20:35:44
210030,,210025,,soft_delete,organization,210025,"{""name"":""Test Organization"",""domain"":null}",,,2026-02-01 20:35:56
210031,,210015,,soft_delete,organization,210015,"{""name"":""Test Organization"",""domain"":null}",,,2026-02-01 20:36:24
210032,,210010,,soft_delete,organization,210010,"{""name"":""Test Organization"",""domain"":null}",,,2026-02-01 20:36:29
210033,,210012,,soft_delete,organization,210012,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:36:43
210034,,210014,,soft_delete,organization,210014,"{""name"":""Updated Edit Test Organization"",""domain"":null}",,,2026-02-01 20:36:47
210035,,210016,,soft_delete,organization,210016,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-02-01 20:36:50
210036,,210017,,soft_delete,organization,210017,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:36:54
210037,,210011,,soft_delete,organization,210011,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-02-01 20:36:57
210038,,210009,,soft_delete,organization,210009,"{""name"":""Updated Edit Test Organization"",""domain"":null}",,,2026-02-01 20:37:02
210039,,210013,,soft_delete,organization,210013,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:37:08
210040,,210019,,soft_delete,organization,210019,"{""name"":""Updated Edit Test Organization"",""domain"":null}",,,2026-02-01 20:37:10
210041,,210021,,soft_delete,organization,210021,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-02-01 20:37:12
210042,,210022,,soft_delete,organization,210022,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:37:14
210043,,210026,,soft_delete,organization,210026,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-02-01 20:37:16
210044,,210030,,soft_delete,organization,210030,"{""name"":""Test Organization"",""domain"":null}",,,2026-02-01 20:37:18
210045,,210020,,soft_delete,organization,210020,"{""name"":""Test Organization"",""domain"":null}",,,2026-02-01 20:37:20
210046,,210018,,soft_delete,organization,210018,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:37:22
210047,,210008,,soft_delete,organization,210008,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:37:24
210048,,210028,,soft_delete,organization,210028,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:37:26
210049,,210007,,soft_delete,organization,210007,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:37:28
210050,,210023,,soft_delete,organization,210023,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:37:30
210051,,210003,,soft_delete,organization,210003,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:37:32
210052,,210004,,soft_delete,organization,210004,"{""name"":""Updated Edit Test Organization"",""domain"":null}",,,2026-02-01 20:37:35
210053,,210006,,soft_delete,organization,210006,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-02-01 20:37:37
210054,,210001,,soft_delete,organization,210001,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-02-01 20:37:40
210055,,210005,,soft_delete,organization,210005,"{""name"":""Test Organization"",""domain"":null}",,,2026-02-01 20:37:44
210056,,210038,,soft_delete,organization,210038,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:37:46
210057,,180005,,soft_delete,organization,180005,"{""name"":""Test Organization"",""domain"":null}",,,2026-02-01 20:37:51
210058,,180004,,soft_delete,organization,180004,"{""name"":""Updated Edit Test Organization"",""domain"":null}",,,2026-02-01 20:37:54
210059,,180003,,soft_delete,organization,180003,"{""name"":""Reuse Admin Org"",""domain"":null}",,,2026-02-01 20:37:57
210060,,210002,,soft_delete,organization,210002,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:38:00
210061,,210039,,soft_delete,organization,210039,"{""name"":""Updated Edit Test Organization"",""domain"":null}",,,2026-02-01 20:38:02
210062,,180002,,soft_delete,organization,180002,"{""name"":""Single Admin Org"",""domain"":null}",,,2026-02-01 20:38:06
210063,,180001,,soft_delete,organization,180001,"{""name"":""Complete Test Organization"",""domain"":""complete-test""}",,,2026-02-01 20:38:09
210064,,150005,,soft_delete,organization,150005,"{""name"":""Updated Edit Test Organization"",""domain"":null}",,,2026-02-01 20:38:12
210065,1080332,30001,30001,project_updated,project,150026,Updated project: Test Case Management Project Updated,,,2026-02-03 20:38:00
210066,1080332,30001,30001,project_updated,project,150026,Updated project: Test Case Management Project - Fixed,,,2026-02-03 20:43:39
210067,1080332,30001,30001,project_updated,project,150026,Updated project: Test Case Management Project - Updated via Modal,,,2026-02-03 20:45:54
210068,1080332,30002,30002,project_updated,project,5,Updated project: Livelihood Recovery Program,,,2026-02-03 20:48:08
210069,1080332,30001,30001,project_created,project,150027,Created project: UI Testing Project - Full Module Test (TEST-UI-004),,,2026-02-03 21:14:47
210070,1080332,30001,30001,project_updated,project,150027,Updated project: UI Testing Project - Full Module Test,,,2026-02-03 21:37:21
240004,1080332,30001,30001,project_status_changed,project,150027,Changed project status from planning to planned: UI Testing Project - Full Module Test,,,2026-02-04 11:56:28
